DATE;TRIES;SECONDS
2022-09-21 13:03:34;2;9
2022-09-21 13:03:36;3;15
2022-09-21 13:03:40;4;20
2022-09-21 13:03:53;3;13
2022-09-21 13:04:40;2;9
2022-09-21 13:05:50;12;59
2022-09-21 13:06:09;15;74
2022-09-21 13:06:19;2;10
2022-09-21 13:07:54;2;9
2022-09-21 13:08:04;2;9
2022-09-21 13:08:14;2;10
2022-09-21 13:16:42;2;9
2022-09-21 13:21:31;3;14
2022-09-21 13:26:15;2;7
2022-09-21 13:26:28;2;7
2022-09-21 13:26:59;9;43
2022-09-21 13:27:19;2;7
2022-09-21 13:27:25;2;6
2022-09-21 13:27:42;3;11
2022-09-21 13:29:44;4;16
2022-09-21 13:32:42;2;7
2022-09-21 13:33:00;2;7
2022-09-21 13:33:24;3;15
2022-09-21 13:38:20;3;13
2022-09-21 13:41:43;2;9
2022-09-21 13:46:30;2;9
2022-09-21 13:51:28;2;7
2022-09-21 13:51:51;5;23
2022-09-21 14:01:22;2;9
2022-09-21 14:01:31;2;9
2022-09-21 14:06:23;3;11
2022-09-21 14:11:22;3;11
2022-09-21 14:16:28;2;9
2022-09-21 14:21:24;2;10
2022-09-21 14:21:34;2;10
2022-09-21 14:26:18;6;29
2022-09-21 14:27:17;4;19
2022-09-21 14:35:02;2;8
2022-09-21 14:35:14;2;7
2022-09-21 14:35:22;4;18
2022-09-21 14:35:27;3;13
2022-09-21 14:35:30;2;8
2022-09-21 14:42:03;2;8
2022-09-21 14:42:22;3;13
2022-09-21 14:42:41;4;19
2022-09-21 14:44:40;4;20
2022-09-21 14:45:35;10;50
2022-09-21 14:45:40;3;15
2022-09-21 14:45:54;2;9
2022-09-21 14:46:20;2;10
2022-09-21 14:46:34;3;14
2022-09-21 14:47:16;4;19
2022-09-21 14:47:36;2;9
2022-09-21 14:47:46;4;19
2022-09-21 14:47:56;2;10
2022-09-21 14:58:40;2;9
2022-09-21 14:58:54;3;14
2022-09-21 14:59:24;2;9
2022-09-21 14:59:38;2;9
2022-09-21 15:00:15;3;13
2022-09-21 15:00:23;2;8
2022-09-21 15:01:35;2;7
2022-09-21 15:02:55;2;7
2022-09-21 15:03:02;2;5
2022-09-21 15:03:24;5;22
2022-09-21 15:06:44;3;14
2022-09-21 15:11:34;3;15
2022-09-21 15:13:54;2;10
2022-09-21 15:21:47;3;12
2022-09-21 15:21:54;2;7
2022-09-21 15:27:00;3;12
2022-09-21 15:31:24;32;159
2022-09-21 15:31:33;3;13
2022-09-21 15:31:34;2;9
2022-09-21 15:31:43;5;23
2022-09-21 15:31:47;3;14
2022-09-21 15:32:01;4;18
2022-09-21 15:32:12;8;38
2022-09-21 15:33:02;2;8
2022-09-21 15:33:14;2;8
2022-09-21 15:34:38;4;19
2022-09-21 15:34:57;2;10
2022-09-21 15:37:07;2;8
2022-09-21 15:37:15;2;8
2022-09-21 16:08:03;2;6
2022-09-21 17:30:22;2;8
2022-09-21 17:31:35;2;5
2022-09-21 17:31:45;2;10
2022-09-21 17:43:05;3;13
2022-09-21 17:43:20;3;13
2022-09-21 17:43:52;4;19
2022-09-21 17:44:05;3;13
2022-09-21 17:44:48;2;9
2022-09-21 17:44:57;2;9
2022-09-21 17:45:15;2;10
2022-09-21 17:46:00;9;45
2022-09-21 17:46:11;2;10
2022-09-21 17:46:21;2;10
2022-09-21 17:46:35;2;9
2022-09-21 17:46:35;2;9
2022-09-21 17:47:11;4;19
2022-09-21 17:47:31;4;19
2022-09-21 17:47:40;2;9
2022-09-21 17:47:52;2;9
2022-09-21 17:48:12;3;15
2022-09-21 17:49:57;8;40
2022-09-21 17:50:17;4;20
2022-09-21 17:50:40;28;140
2022-09-21 17:50:43;6;30
2022-09-21 17:51:36;9;45
2022-09-21 17:51:39;6;30
2022-09-21 17:51:40;6;30
2022-09-21 17:51:43;12;60
2022-09-21 17:51:49;2;10
2022-09-21 17:52:01;2;10
2022-09-21 17:52:07;22;109
2022-09-21 17:52:11;9;44
2022-09-21 17:52:41;5;25
2022-09-21 17:52:52;6;30
2022-09-21 17:53:07;5;25
2022-09-21 17:54:03;5;25
2022-09-21 17:54:37;18;90
2022-09-21 17:54:48;9;45
2022-09-21 17:54:52;2;9
2022-09-21 17:55:05;4;20
2022-09-21 17:55:21;2;9
2022-09-21 17:55:31;2;10
2022-09-21 17:55:35;6;30
2022-09-21 17:55:42;2;9
2022-09-21 17:56:08;2;10
2022-09-21 17:56:23;3;15
2022-09-21 17:56:34;2;9
2022-09-21 17:56:49;3;15
2022-09-21 17:57:10;3;15
2022-09-21 17:57:51;8;39
2022-09-21 17:59:59;17;84
2022-09-21 18:00:31;12;60
2022-09-21 18:00:37;36;179
2022-09-21 18:00:40;7;34
2022-09-21 18:00:47;9;45
2022-09-21 18:00:58;3;14
2022-09-21 18:01:13;3;15
2022-09-21 18:01:15;7;35
2022-09-21 18:01:22;7;35
2022-09-21 18:01:37;2;9
2022-09-21 18:01:38;2;9
2022-09-21 18:01:40;14;69
2022-09-21 18:01:41;2;9
2022-09-21 18:01:53;3;15
2022-09-21 18:01:58;2;10
2022-09-21 18:02:01;4;20
2022-09-21 18:02:42;6;29
2022-09-21 18:02:49;2;10
2022-09-21 18:02:57;3;15
2022-09-21 19:08:55;895;3774
2022-09-21 19:08:55;921;3919
2022-09-21 19:08:55;59;159
2022-09-21 19:08:55;891;3836
2022-09-21 19:08:56;712;2864
2022-09-21 19:08:57;647;2500
2022-09-21 19:08:57;875;3763
2022-09-21 19:08:57;868;3428
2022-09-21 19:08:57;714;2783
2022-09-21 19:08:58;430;1626
2022-09-21 19:08:59;685;2841
2022-09-21 19:09:33;30;36
2022-09-21 19:09:33;939;3856
2022-09-21 19:09:33;915;3779
2022-09-21 19:09:33;57;196
2022-09-21 19:09:33;969;3999
2022-09-21 19:09:33;614;2277
2022-09-21 19:09:34;676;2602
2022-09-21 19:09:34;931;3994
2022-09-21 19:09:34;17;37
2022-09-21 19:09:34;964;3916
2022-09-21 19:09:35;904;3689
2022-09-21 19:09:35;190;540
2022-09-21 19:09:36;656;2379
2022-09-21 19:09:36;946;3945
2022-09-21 19:09:36;10;40
2022-09-21 19:09:36;959;3940
2022-09-21 19:09:36;924;3835
2022-09-21 19:09:36;921;3738
2022-09-21 19:09:36;176;574
2022-09-21 19:09:36;704;2742
2022-09-21 19:09:37;10;40
2022-09-21 19:09:37;867;3525
2022-09-21 19:09:37;242;880
2022-09-21 19:09:37;782;3205
2022-09-21 19:09:38;3;5
2022-09-21 19:09:38;3;5
2022-09-21 19:09:38;908;3764
2022-09-21 19:09:38;943;3859
2022-09-21 19:09:39;3;5
2022-09-21 19:09:39;891;3749
2022-09-21 19:09:40;714;2995
2022-09-21 19:09:41;3;5
2022-09-21 19:09:41;3;5
2022-09-21 19:09:41;3;5
2022-09-21 19:09:42;740;2933
2022-09-21 19:09:42;3;5
2022-09-21 19:09:42;3;5
2022-09-21 19:09:42;950;3987
2022-09-21 19:09:43;22;48
2022-09-21 19:09:43;4;10
2022-09-21 19:09:43;4;10
2022-09-21 19:09:43;16;46
2022-09-21 19:09:44;826;3476
2022-09-21 19:09:44;761;3099
2022-09-21 19:09:44;12;45
2022-09-21 19:09:44;595;2287
2022-09-21 19:09:44;901;3642
2022-09-21 19:09:45;912;3812
2022-09-21 19:09:45;673;2695
2022-09-21 19:09:45;4;9
2022-09-21 19:09:46;2;4
2022-09-21 19:09:47;20;52
2022-09-21 19:09:47;848;3590
2022-09-21 19:09:47;3;9
2022-09-21 19:09:47;942;3909
2022-09-21 19:09:48;5;14
2022-09-21 19:09:49;5;14
2022-09-21 19:09:50;833;3425
2022-09-21 19:09:52;4;14
